Product_URL,Product_Image_URL,Product_Tagging,Product_Name,Product_Description,Original_Price,Discount_Price,Sizes_Available,Vouchers,Available_Colors,Color_Shown,Style_Code,Rating_Score,Review_Count
https://www.nike.comhttps://www.nike.com/ph/t/aura-cross-body-bag-zKc0cnhn/HM6120-013,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2332e45d-623c-4647-ac75-68ad8c772970/NK+AURA+WAISTPACK.png",,Nike Aura,Cross-Body Bag (2L),"₱1,595","₱1,595",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/jordan-trunner-lx-shoes-vYJ9xBAU/HQ2164-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4852d54f-ec9c-4c19-a0c7-47f75e507b6a/WMNS+JORDAN+TRUNNER+LX.png",,Jordan Trunner LX,Women's Shoes,"₱6,076","₱7,59520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/pegasus-plus-road-running-shoes-vsskjR/FQ7262-012,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0e1c94e7-5f7d-4a75-91c9-81d5b1d258f6/PEGASUS+PLUS.png",,Nike Pegasus Plus,Men's Road Running Shoes,"₱7,916","₱9,89520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/gamma-force-shoes-v46jWZ/HQ1674-100,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6e6b31ba-32d1-4dae-9d9d-acd0378d5b29/WMNS+NIKE+GAMMA+FORCE.png",,Nike Gamma Force,Women's Shoes,"₱4,156","₱5,19520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/court-borough-low-recraft-shoes-3JT7d2/HM6300-480,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2f1b6974-1012-4a7e-b334-67f838a21156/COURT+BOROUGH+LOW+RECRAFT+TD.png",,Nike Court Borough Low Recraft,Baby/Toddler Shoes,"₱1,516","₱1,89520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/air-max-95-big-bubble-leather-shoes-DbiNiDFz/IM0696-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/dd64e5a2-9b84-4d03-ba1f-b4ae4d44cb63/AIR+MAX+95+BIG+BBL+LTR+QS.png",,Nike Air Max 95 Big Bubble Leather,Men's Shoes,"₱10,895","₱10,895",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/tatum-3-older-basketball-shoes-K5BbmlON/HF3136-400,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5a5f0d3f-5c9a-44bc-9674-88cb0dd8dfc5/JORDAN+TATUM+3+%28GS%29.png",,Tatum 3,Older Kids' Basketball Shoes,"₱2,937","₱4,89540",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/jordan-1-mid-se-shoes-lSeEvncJ/HV4729-102,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a738ae0b-e171-420d-9110-c47b1d20c03e/JORDAN+1+MID+SE+%28TD%29.png",,Jordan 1 Mid SE,Baby & Toddler Shoes,"₱2,786","₱3,09510",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/aura-backpack-UzJzow8p/HF7007-415,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4b3773ed-527c-46d1-83aa-a6ad26c7fd76/NK+AURA+BKPK.png",,Nike Aura,Backpack (24L),"₱1,977","₱3,29540",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/air-jordan-1-mid-older-shoes-wqHdzW/DQ8423-105,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/071ee569-23d5-4b3a-97cd-42d24e3a8f43/AIR+JORDAN+1+MID+%28GS%29.png",,Air Jordan 1 Mid,Older Kids' Shoes,"₱3,996","₱4,99520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/field-general-blue-suede-shoes-jjjvd8/IF0666-400,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/332638c0-4ba9-4c88-9569-a930f1f4fc99/NIKE+FIELD+GENERAL.png",,Nike Field General 'Blue Suede',Men's Shoes,"₱5,036","₱6,29520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/air-jordan-1-low-se-older-shoes-DnbbAsrg/IM4422-400,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/7adad52d-1034-407c-8cce-8a3c4db89a62/AIR+JORDAN+1+LOW+SE+%28GS%29.png",,Air Jordan 1 Low SE,Older Kids' Shoes,"₱4,396","₱5,49520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/air-jordan-1-low-easyon-shoes-SsT4HK/DM1206-081,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b249d6f6-6836-4437-8f9e-1bd459fa36f8/AIR+JORDAN+1+LOW+EASYON.png",,Air Jordan 1 Low EasyOn,Men's Shoes,"₱5,916","₱7,39520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/united-jr-mercurial-vapor-16-academy-older-multi-ground-low-top-football-boots-RbJ1iHXS/IB3660-600,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2bd35304-b101-4313-9869-4c19495b9dcf/JR+ZM+VAPOR+16+ACAD+FG%2FMG+NU2.png",,Nike United Jr. Mercurial Vapor 16 Academy,Older Kids' Multi-Ground Low-Top Football Boot,"₱2,956","₱3,69520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/vomero-18-older-road-running-shoes-50VPz0/HQ2157-300,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/fbf478b4-097e-404d-a96c-2ab24473dcca/NIKE+VOMERO+18+%28GS%29.png",,Nike Vomero 18,Older Kids' Road Running Shoes,"₱5,196","₱6,49520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/zoom-fly-6-road-racing-shoes-PZG8ZD/FN8454-403,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a1f54fc0-fb4f-43b3-8c17-b5bcb41abaf4/ZOOM+FLY+6.png",,Nike Zoom Fly 6,Men's Road Racing Shoes,"₱7,516","₱9,39520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/team-hustle-d-12-shoes-g320gb/HF6281-003,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8fc2008e-931b-4255-9894-36677688bef6/TEAM+HUSTLE+D+12+%28TD%29.png",,Nike Team Hustle D 12,Baby/Toddler Shoes,"₱2,316","₱2,89520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/shox-r4-shoes-4gHp3R/HQ1988-102,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/35d5b054-2df3-46f8-b0ec-4acf6d36dc7e/NIKE+SHOX+R4.png",,Nike Shox R4,Men's Shoes,"₱6,876","₱8,59520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/ava-rover-shoes-1CNHU80y/DX4215-206,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6f1bc07f-e014-400b-896d-97fc0b0457bf/NIKE+AVA+ROVER.png",,Nike Ava Rover,Shoes,"₱6,076","₱7,59520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/air-jordan-1-low-g-spiked-golf-shoes-qGBZQ0b9/IQ3417-002,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/46cb6b9d-c022-4706-a6a5-e26a5818aa00/AIR+JORDAN+1+LOW+G+SPK.png",,Air Jordan 1 Low G Spiked,Golf Shoes,"₱9,695","₱9,695",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/trail-second-sunrise-12-5cm-dri-fit-adv-brief-lined-running-shorts-MOxS7qsQ/HJ3573-017,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/b85e8389-a46f-4036-867a-5eb284cb8143/AS+M+NK+DFADV+SCND+SNRSE+5BF+S.png,,Nike Trail Second Sunrise,Men's 12.5cm (approx.) Dri-FIT ADV Brief-Lined Running Shorts,"₱2,316","₱2,89520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/metcon-10-workout-shoes-EwZFrS5O/HQ2620-002,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9c4de70e-3c85-4f60-9b6b-6ad32ce39266/W+NIKE+METCON+10.png",,Nike Metcon 10,Women's Workout Shoes,"₱6,876","₱8,59520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/gp-challenge-1-5-hard-court-tennis-shoes-8TaRx57n/IQ5180-109,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d70a1b86-7823-46db-90f9-fc76bf618bd2/M+ZOOM+GP+CHALLENGE+1.5+HC.png",,Nike GP Challenge 1.5,Men's Hard Court Tennis Shoes,"₱8,595","₱8,595",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/victori-one-slides-sRBzK2/CN9677-600,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/abca8659-8a71-4840-9c96-91098bbd30df/W+NIKE+VICTORI+ONE+SLIDE.png",,Nike Victori One,Women's Slides,"₱1,279","₱1,59519",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/jordan-air-t-shirt-ZJdRQq/DM3182-050,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/442f362b-964c-4012-ac55-0cbeb01c763c/M+J+EMB+JORDAN+AIR+CREW.png",,Jordan Air,Men's T-Shirt,"₱1,116","₱1,39520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/pacific-leather-shoes-RWl736OY/IM4006-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8c3b3183-0dd6-4613-b95e-47ff95cef656/NIKE+PACIFIC+LTR.png",,Nike Pacific Leather,Men's Shoes,"₱3,436","₱4,29520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/pro-365-13cm-shorts-Xtrrs6/CZ9832-010,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/a7f68ae6-59c4-4ed9-a725-00ecec16ff68/AS+W+NP+365+SHORT+5IN.png,,Nike Pro 365,Women's 13cm (approx.) Shorts,"₱1,295","₱1,295",,,,,,,
